1638,25.291944,60.643056,2017-06-08 14:48:09.463,null,-1,چابهار,false,9971,سيستان و بلوچستان,Sistan & baloochestan,-1,Chabahar
1661,38.398889,47.681944,2017-06-08 13:07:34.403,null,-1,مشگين شهر,false,5661,اردبيل,Ardebil,-1,Meshginshahr
1703,30.595833,50.241667,2017-06-10 14:45:23.443,null,-1,بهبهان,false,6361,خوزستان,Khozestan,-1,Behbahan
1704,36.574843,52.026721,2017-06-11 12:07:35.857,null,-1,نور آباد,false,7351,فارس,Fars,-1,Noorabad
1707,29.4586676,55.6714051,2017-06-14 08:59:27.777,null,-1,سيرجان,false,781,كرمان,Kerman,-1,Sirjan
2010,35.8400188,50.9390906,2017-06-08 08:19:07.0,null,-1,کرج-(مهرشهر),false,31836,البرز,Alborz,-1,karaj-mehrshahr
2268,38.180278,45.702778,2017-06-11 09:42:24.317,null,-1,شبستر,false,5381,آذربايجان شرقي,Azarbayejan sharghi,-1,Shabestar
2334,33.8941993,48.767033,2017-06-10 07:40:58.097,null,-1,بروجرد,false,691,لرستان,Lorestan,-1,Brojerd
2552,30.668684,51.586041,2017-06-10 10:05:54.047,null,-1,ياسوج,false,7591,كهگيلويه و بويراحمد,Kohgilooyeh & boyerahmad,-1,Yasooj
4041,35.273889,59.219444,2017-06-15 07:14:30.517,null,-1,تربت حيدريه,false,951,خراسان رضوي,Khorasan razavi,-1,Torbateheydarieh
4069,35.243889,60.6225,2017-06-15 07:45:26.233,null,-1,تربت جام,false,9571,خراسان رضوي,Khorasan razavi,-1,Torbatejam
4255,35.5778,51.461973,2017-06-14 11:37:24.817,null,-1,رباطکريم,false,3761,تهران,Tehran,-1,Robatkarim
5060,35.5445805,51.2302457,2017-06-15 06:20:26.467,null,-1,اسلام شهر,false,331,تهران,Tehran,-1,Eslamshahr
5122,37.25,55.167222,2017-06-17 08:56:57.64,null,-1,گنبد کاووس,false,4971,گلستان,Golestan,-1,Gonbadekavoos
5128,36.246389,46.266389,2017-06-18 12:02:19.49,null,-1,سقز,false,6681,كردستان,Kordestan,-1,Saghez
5746,35.659722,51.059167,2017-06-19 06:37:46.733,null,-1,شهريار,false,3351,تهران,Tehran,-1,Shahriyar
6320,33.4955028,49.0631743,2017-06-20 07:12:53.007,null,-1,دورود,false,6881,لرستان,Lorestan,-1,Dorood
7615,35.3252407,51.6471987,2017-06-22 07:51:43.567,null,-1,ورامين,false,3371,تهران,Tehran,-1,Varamin
7858,32.194167,48.243611,2017-06-25 13:35:11.473,null,-1,شوش,false,6471,خوزستان,Khozestan,-1,Shoosh
7966,34.296944,48.823611,2017-06-24 07:19:17.567,null,-1,ملاير,false,6571,همدان,Hamedan,-1,Malayer
8113,39.648333,47.9175,2017-06-24 19:25:33.78,null,-1,پارس آباد,false,5691,اردبيل,Ardebil,-1,Pars abad
8123,31.28,49.603611,2017-06-23 13:29:15.92,null,-1,رامهرمز,false,6381,خوزستان,Khozestan,-1,Ramhormoz
8475,36.155278,45.478889,2017-07-05 07:50:02.43,null,-1,سردشت-آذربايجان غربي,false,5961,آذربايجان غربي,Azarbayejan Gharbi,-1,Sardasht
9567,35.238333,58.465556,2017-06-29 08:09:45.86,null,-1,کاشمر,false,9671,خراسان رضوي,Khorasan razavi,-1,Kashmar
9585,35.021389,50.356667,2017-06-28 07:05:09.823,null,-1,ساوه,false,391,مركزي,Markazi,-1,Saveh
12674,31.160833,52.650556,2017-06-12 12:10:49.17,null,-1,آباده,false,7391,فارس,Fars,-1,Abade
14486,30.406667,55.993889,2017-06-10 07:53:30.863,null,-1,رفسنجان,false,771,كرمان,Kerman,-1,Rafsanjan
15309,31.028611,61.501111,2017-06-03 07:33:44.66,null,-1,زابل,false,9861,سيستان و بلوچستان,Sistan & baloochestan,-1,Zabol
18158,36.8241289,49.4237274,2017-06-12 06:31:41.957,null,-1,رودبار-گيلان,false,4461,گيلان,Gilan,-1,Roodbar
19815,32.6324231,51.3679914,2017-06-28 07:23:56.82,null,-1,نجف آباد,false,851,اصفهان,Esfehan,-1,Najafabad
21338,35.9467494,52.1275481,2017-06-21 08:25:30.427,null,-1,دماوند,false,3971,تهران,Tehran,-1,Damavand
21668,38.429167,48.871944,2017-06-15 11:07:46.517,null,-1,آستارا,false,4391,گيلان,Gilan,-1,Astara
22254,36.2151823,57.6678228,2017-06-15 07:40:39.95,null,-1,سبزوار,false,961,خراسان رضوي,Khorasan razavi,-1,Sabzevar
22364,35.9985999,45.8823428,2017-06-20 14:34:30.27,null,-1,بانه,false,6691,كردستان,Kordestan,-1,Baneh
23904,36.969444,46.102778,2017-06-14 14:29:19.693,null,-1,مياندوآب,false,5971,آذربايجان غربي,Azarbayejan Gharbi,-1,Miyandoab
24413,30.745833,49.708611,2017-06-02 15:16:58.133,null,-1,اميديه,false,63731,خوزستان,Khozestan,-1,Omidiyeh
28711,35.75499,52.772073,2017-06-12 10:21:37.62,null,-1,فيروزکوه,false,3981,تهران,Tehran,-1,Firoozkooh
28787,36.521111,46.208889,2017-07-03 09:21:16.207,null,-1,بوکان,false,5951,آذربايجان غربي,Azarbayejan Gharbi,-1,Bookan
28808,35.526944,46.176389,2017-06-29 11:33:49.18,null,-1,مريوان,false,6671,كردستان,Kordestan,-1,Marivan
33045,31.758664,54.204786,2017-06-11 07:28:29.827,null,-1,تفت,false,8991,يزد,Yazd,-1,Taft
33871,34.795556,46.935556,2017-06-06 10:11:47.2,null,-1,کامياران,false,6631,كردستان,Kordestan,-1,Kamyaran
33986,33.400556,49.695,2017-06-11 09:04:34.19,null,-1,اليگودرز,false,6861,لرستان,Lorestan,-1,Aligoodarz
35228,32.3830777,48.4235841,2017-06-15 14:56:50.923,null,-1,دزفول,false,6461,خوزستان,Khozestan,-1,Dezfool
35799,36.168333,54.348056,2017-06-28 08:49:24.183,null,-1,دامغان,false,3671,سمنان,Semnan,-1,Damghan
36160,37.106111,58.509444,2017-06-06 07:05:16.637,null,-1,قوچان,false,9471,خراسان رضوي,Khorasan razavi,-1,Ghoochan
36811,36.763056,45.722222,2017-06-07 13:51:22.297,null,-1,مهاباد-آذربايجان غربي,false,591,آذربايجان غربي,Azarbayejan Gharbi,-1,Mahabad
40577,35.5778,51.461973,2017-06-18 11:46:15.09,null,-1,زرين شهر,false,8471,اصفهان,Esfehan,-1,Zarinshahr
43034,27.84,51.937778,2017-06-08 11:26:13.95,null,-1,بندردير,false,75541,بوشهر,Booshehr,-1,Bandaredeyr
43120,36.694444,45.141667,2017-06-14 09:27:50.073,null,-1,پيرانشهر,false,5781,آذربايجان غربي,Azarbayejan Gharbi,-1,Piranshahr
43848,32.700278,51.521111,2017-06-24 06:42:10.167,null,-1,خميني شهر,false,841,اصفهان,Esfehan,-1,Khomainishahr
45558,37.1378415,50.2836199,2017-06-05 09:52:51.937,null,-1,رودسر,false,4481,گيلان,Gilan,-1,Roodsar
47902,37.145625,46.1685242,2017-06-14 12:59:33.057,null,-1,ملکان,false,5561,آذربايجان شرقي,Azarbayejan sharghi,-1,Malekan
50874,30.347296,48.2934004,2017-06-13 12:58:16.127,null,-1,آبادان,false,631,خوزستان,Khozestan,-1,Abadan
51034,26.8118673,55.8913207,2017-06-14 08:23:01.56,null,-1,قشم,false,7951,هرمزگان,Hormozgan,-1,Gheshm
52415,29.198889,54.327778,2017-06-02 13:45:12.2,null,-1,ني ريز,false,7491,فارس,Fars,-1,Neyriz
